Data Source;Indicadores del desarrollo mundial;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Last Updated Date;28/03/2024;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Country Name;Country Code;Indicator Name;Indicator Code;1960;1961;1962;1963;1964;1965;1966;1967;1968;1969;1970;1971;1972;1973;1974;1975;1976;1977;1978;1979;1980;1981;1982;1983;1984;1985;1986;1987;1988;1989;1990;1991;1992;1993;1994;1995;1996;1997;1998;1999;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021;2022;2023
Australia;AUS;PIB per cápita (US$ a precios actuales);NY.GDP.PCAP.CD;1810.60;1877.60;1854.64;1967.11;2131.38;2281.01;2343.82;2580.11;2724.13;2991.39;3304.84;3495.14;3949.37;4770.62;6482.83;7003.74;7486.59;7775.50;8252.66;9294.36;10208.65;11853.51;12778.93;11515.62;12421.47;11441.19;11391.66;11650.80;14284.52;17834.21;18248.94;18859.41;18623.79;17699.56;18129.40;20448.12;22021.78;23646.62;21479.11;20712.67;21870.42;19695.73;20301.84;23718.13;30836.73;34479.77;36595.71;41051.61;49701.28;42816.57;52147.02;62609.66;68078.04;68198.42;62558.24;56758.87;49918.79;53954.55;57273.52;55049.57;51868.25;60697.25;65099.85;
Austria;AUT;PIB per cápita (US$ a precios actuales);NY.GDP.PCAP.CD;935.46;1031.82;1087.83;1167.00;1269.41;1374.53;1486.97;1569.67;1677.67;1825.39;2058.77;2380.98;2924.05;3890.72;4630.76;5285.62;5678.39;6810.63;8205.47;9793.77;10869.55;9385.25;9410.35;9537.41;8991.07;9172.10;13083.07;16392.77;17578.62;17468.95;21680.99;22410.91;24880.16;24081.53;25646.70;30325.85;29809.08;26705.48;27361.88;27183.48;24625.60;24558.76;26527.59;32294.05;36889.23;38417.46;40669.33;46915.34;51919.98;48153.32;46903.76;51442.28;48564.92;50731.13;51786.38;44195.82;45307.59;47429.16;51466.56;50067.59;48789.50;53517.89;52084.68;
Azerbaiyán;AZE;PIB per cápita (US$ a precios actuales);NY.GDP.PCAP.CD;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;1238.27;734.94;60.24;209.53;157.06;314.56;409.19;505.52;561.91;573.89;655.10;703.67;763.11;883.69;1045.01;1578.37;2472.96;3851.33;5574.47;4950.40;5843.53;7189.82;7495.87;7875.35;7890.84;5500.50;3880.69;4147.20;4739.79;4805.75;4229.91;5408.05;7762.07;
Burundi;BDI;PIB per cápita (US$ a precios actuales);NY.GDP.PCAP.CD;71.36;72.09;73.94;78.95;85.96;50.99;51.81;54.45;54.65;55.54;69.40;70.59;68.96;85.21;94.33;112.29;117.05;139.41;151.07;189.13;213.25;215.79;220.16;229.12;203.86;232.41;238.36;219.37;205.32;207.29;206.44;208.66;188.58;168.96;165.59;168.63;146.54;164.23;148.09;130.75;138.00;135.61;124.14;114.37;128.54;151.19;166.28;170.71;194.71;204.54;222.66;236.45;238.21;241.55;257.82;289.36;242.54;244.15;232.06;216.97;216.83;221.16;259.03;
Bélgica;BEL;PIB per cápita (US$ a precios actuales);NY.GDP.PCAP.CD;1273.69;1350.20;1438.52;1535.02;1701.85;1835.59;1957.63;2086.64;2222.36;2458.08;2765.89;3082.93;3831.63;4900.96;5733.80;6701.38;7243.05;8426.95;10289.77;11810.62;12864.00;10622.80;9343.86;8846.23;8457.27;8750.82;12170.04;15135.85;16391.09;16525.06;20600.38;21041.66;23372.62;22283.94;24208.55;28413.83;27489.56;24820.94;25338.44;25252.80;23098.89;23015.07;25006.19;30655.21;35429.41;36809.70;38705.11;44319.17;48303.40;44760.29;44184.95;47410.57;44670.56;46757.95;47764.07;41008.30;42012.62;44198.48;47544.98;46641.72;45609.00;51850.40;49926.83;
Benin;BEN;PIB per cápita (US$ a precios actuales);NY.GDP.PCAP.CD;90.04;92.37;91.17;96.25;100.47;105.97;108.63;107.68;112.48;111.70;110.35;108.49;130.00;156.28;168.01;200.33;201.83;211.49;255.39;317.82;366.53;327.57;312.69;262.58;244.84;236.61;293.56;333.22;335.34;301.68;381.81;375.29;310.62;398.61;269.79;358.82;380.59;355.14;372.88;541.70;503.00;508.35;564.38;698.41;784.12;805.90;837.13;944.64;1098.95;1061.72;1009.49;1099.41;1112.57;1214.30;1251.50;1041.65;1049.82;1095.27;1194.44;1170.89;1240.73;1360.91;1302.85;
Burkina Faso;BFA;PIB per cápita (US$ a precios actuales);NY.GDP.PCAP.CD;69.08;72.17;77.08;78.83;80.83;81.99;82.76;84.56;84.92;86.72;81.69;84.52;99.67;114.22;124.81;153.13;155.75;176.30;224.33;259.04;278.20;249.29;239.62;212.49;188.34;194.57;248.09;280.95;301.95;294.04;339.63;334.76;349.71;325.15;187.82;229.83;243.53;224.61;250.41;293.89;249.80;260.44;286.75;363.82;405.45;442.94;457.34;516.75;621.89;603.88;627.27;727.61;733.97;762.30;767.37;632.13;665.79;711.18;779.20;765.23;823.55;888.78;830.04;
Bangladesh;BGD;PIB per cápita (US$ a precios actuales);NY.GDP.PCAP.CD;84.83;92.86;95.05;96.55;94.87;100.97;106.86;116.80;116.94;128.61;133.14;128.00;90.68;113.67;171.53;260.35;132.46;123.51;166.01;190.04;216.11;235.04;209.20;193.41;202.29;232.17;221.57;241.79;258.83;274.39;294.90;283.38;284.97;292.43;292.08;322.09;387.38;395.32;401.97;404.49;413.10;410.05;407.96;440.71;469.12;492.81;503.54;552.34;630.11;698.52;776.86;856.38;876.82;973.77;1108.51;1236.00;1659.96;1815.61;1963.41;2122.08;2233.31;2457.92;2688.31;
Bulgaria;BGR;PIB per cápita (US$ a precios actuales);NY.GDP.PCAP.CD;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;2238.80;2234.81;2169.00;1852.81;1963.57;1914.55;2260.43;3132.30;2511.39;2477.02;2366.53;1267.73;1211.98;1278.53;1148.49;2259.26;1470.19;1361.41;1820.45;1659.72;1621.26;1770.91;2092.98;2719.49;3389.69;3899.83;4523.15;5888.78;7271.30;6988.27;6863.67;7857.17;7430.74;7687.71;7912.27;7078.86;7570.93;8381.88;9447.66;9874.34;10148.34;12219.34;13974.45;
Bahrein;BHR;PIB per cápita (US$ a precios actuales);NY.GDP.PCAP.CD;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;8474.19;9187.98;9323.75;9227.68;9316.38;8407.16;6780.14;7270.20;7660.07;7721.74;8174.80;8621.77;8568.66;9063.57;9384.77;9543.39;9643.31;9728.45;9195.43;9566.10;12738.77;12291.83;12820.00;14230.30;15777.96;17705.24;19057.80;20883.55;23155.82;19448.18;21186.81;23741.56;25102.73;25790.73;25464.76;22795.45;22867.18;24349.91;25415.85;25869.11;23433.19;26850.00;30146.93;
