game_year,WB_country_code,WB_country_name,game_city,game_name,gold,silver,bronze,sum_medals
1968,CUB,Cuba,Mexico City,Mexico City 1968,0,4,0,4
1968,CZE,Czech Republic,Mexico City,Mexico City 1968,7,2,4,13
1968,DEU,Germany,Mexico City,Mexico City 1968,16,21,17,54
1968,DNK,Denmark,Mexico City,Mexico City 1968,1,4,4,9
1968,ETH,Ethiopia,Mexico City,Mexico City 1968,1,1,0,2
1968,FIN,Finland,Mexico City,Mexico City 1968,1,2,1,4
1968,FRA,France,Mexico City,Mexico City 1968,8,3,5,16
1968,GBR,Great Britain,Mexico City,Mexico City 1968,6,5,3,14
1968,GRC,Greece,Mexico City,Mexico City 1968,0,0,1,1
1968,HUN,Hungary,Mexico City,Mexico City 1968,10,13,12,35
1968,IND,India,Mexico City,Mexico City 1968,0,0,1,1
1968,IRN,Iran,Mexico City,Mexico City 1968,2,1,2,5
1968,ITA,Italy,Mexico City,Mexico City 1968,3,4,10,17
1968,JAM,Jamaica,Mexico City,Mexico City 1968,0,1,0,1
1968,JPN,Japan,Mexico City,Mexico City 1968,11,7,7,25
1968,KEN,Kenya,Mexico City,Mexico City 1968,3,4,2,9
1968,KOR,South Korea,Mexico City,Mexico City 1968,0,1,1,2
1968,MEX,Mexico,Mexico City,Mexico City 1968,3,3,3,9
1968,MNG,Mongolia,Mexico City,Mexico City 1968,0,1,3,4
1968,NLD,Netherlands,Mexico City,Mexico City 1968,3,5,1,9
1968,NOR,Norway,Mexico City,Mexico City 1968,1,2,0,3
1968,NZL,New Zealand,Mexico City,Mexico City 1968,1,0,2,3
1968,PAK,Pakistan,Mexico City,Mexico City 1968,1,0,0,1
1968,POL,Poland,Mexico City,Mexico City 1968,5,2,11,18
1968,ROU,Romania,Mexico City,Mexico City 1968,5,6,5,16
1968,RUS,Russia,Mexico City,Mexico City 1968,31,32,32,95
1968,SWE,Sweden,Mexico City,Mexico City 1968,2,1,1,4
1968,TUN,Tunisia,Mexico City,Mexico City 1968,1,0,1,2
1968,TUR,Turkey,Mexico City,Mexico City 1968,2,0,0,2
1968,UGA,Uganda,Mexico City,Mexico City 1968,0,1,1,2
1968,USA,United States,Mexico City,Mexico City 1968,46,29,35,110
1968,VEN,Venezuela,Mexico City,Mexico City 1968,1,0,0,1
1968,YGL,Yugoslavia,Mexico City,Mexico City 1968,3,3,2,8
1972,ARG,Argentina,Munich,Munich 1972,0,1,0,1
1972,AUS,Australia,Munich,Munich 1972,9,7,2,18
1972,AUT,Austria,Munich,Munich 1972,0,1,2,3
1972,BEL,Belgium,Munich,Munich 1972,0,2,0,2
1972,BGR,Bulgaria,Munich,Munich 1972,6,10,6,22
1972,BRA,Brazil,Munich,Munich 1972,0,0,2,2
1972,CAN,Canada,Munich,Munich 1972,0,2,3,5
1972,CHE,Switzerland,Munich,Munich 1972,0,4,0,4
1972,COL,Colombia,Munich,Munich 1972,0,1,2,3
1972,CUB,Cuba,Munich,Munich 1972,3,1,4,8
1972,CZE,Czech Republic,Munich,Munich 1972,2,4,2,8
1972,DEU,Germany,Munich,Munich 1972,35,37,42,114
1972,DNK,Denmark,Munich,Munich 1972,1,0,0,1
1972,ESP,Spain,Munich,Munich 1972,0,0,1,1
1972,ETH,Ethiopia,Munich,Munich 1972,0,0,2,2
1972,FIN,Finland,Munich,Munich 1972,3,1,4,8
1972,FRA,France,Munich,Munich 1972,2,5,8,15
1972,GBR,Great Britain,Munich,Munich 1972,5,6,9,20
1972,GHA,Ghana,Munich,Munich 1972,0,0,1,1
1972,GRC,Greece,Munich,Munich 1972,0,2,0,2
1972,HUN,Hungary,Munich,Munich 1972,6,14,16,36
1972,IND,India,Munich,Munich 1972,0,0,1,1
1972,IRN,Iran,Munich,Munich 1972,0,2,1,3
1972,ITA,Italy,Munich,Munich 1972,5,3,10,18
1972,JAM,Jamaica,Munich,Munich 1972,0,0,1,1
1972,JPN,Japan,Munich,Munich 1972,13,8,8,29
1972,KEN,Kenya,Munich,Munich 1972,2,3,4,9
1972,KOR,South Korea,Munich,Munich 1972,0,1,0,1
1972,LBN,Lebanon,Munich,Munich 1972,0,1,0,1
1972,MEX,Mexico,Munich,Munich 1972,0,1,0,1
1972,MNG,Mongolia,Munich,Munich 1972,0,1,0,1
1972,NER,Niger,Munich,Munich 1972,0,0,1,1
1972,NGA,Nigeria,Munich,Munich 1972,0,0,1,1
1972,NLD,Netherlands,Munich,Munich 1972,3,1,2,6
1972,NOR,Norway,Munich,Munich 1972,2,2,1,5
1972,NZL,New Zealand,Munich,Munich 1972,1,1,1,3
1972,PAK,Pakistan,Munich,Munich 1972,0,1,0,1
1972,POL,Poland,Munich,Munich 1972,7,5,11,23
1972,PRK,North Korea,Munich,Munich 1972,1,1,3,5
1972,ROU,Romania,Munich,Munich 1972,3,7,8,18
1972,RUS,Russia,Munich,Munich 1972,56,27,22,105
1972,SWE,Sweden,Munich,Munich 1972,4,7,6,17
1972,TUN,Tunisia,Munich,Munich 1972,0,1,0,1
1972,TUR,Turkey,Munich,Munich 1972,0,1,0,1
1972,UGA,Uganda,Munich,Munich 1972,1,1,0,2
1972,USA,United States,Munich,Munich 1972,33,31,31,95
1972,YGL,Yugoslavia,Munich,Munich 1972,2,1,2,5
1976,AUS,Australia,Montreal,Montreal 1976,0,1,5,6
1976,AUT,Austria,Montreal,Montreal 1976,0,0,1,1
1976,BEL,Belgium,Montreal,Montreal 1976,0,3,3,6
1976,BGR,Bulgaria,Montreal,Montreal 1976,8,9,7,24
1976,BMU,Bermuda,Montreal,Montreal 1976,0,0,1,1
1976,BRA,Brazil,Montreal,Montreal 1976,0,0,3,3
1976,CAN,Canada,Montreal,Montreal 1976,0,5,6,11
1976,CHE,Switzerland,Montreal,Montreal 1976,1,1,2,4
1976,CUB,Cuba,Montreal,Montreal 1976,6,4,3,13
1976,CZE,Czech Republic,Montreal,Montreal 1976,2,2,4,8
1976,DEU,Germany,Montreal,Montreal 1976,54,40,47,141
1976,DNK,Denmark,Montreal,Montreal 1976,1,0,2,3
1976,ESP,Spain,Montreal,Montreal 1976,0,3,0,3
1976,FIN,Finland,Montreal,Montreal 1976,4,2,0,6
1976,FRA,France,Montreal,Montreal 1976,2,3,4,9
1976,GBR,Great Britain,Montreal,Montreal 1976,4,7,5,16
1976,HUN,Hungary,Montreal,Montreal 1976,4,6,16,26
