WB_country_code,WB_country_name,Region,year,medals_cumsum,GDP_deviation,GDP_dev_sign,GDP_cumsum,ratio_medal_gdp,GDP
LBN,Lebanon,Asia,1960,0,-100.0,negative,0.0,,0.0
LKA,Sri Lanka,Asia,1960,0,-37.694278456941106,negative,1409873949.58,0.0,1409873949.58
LTU,Lithuania,Europe,1960,0,-100.0,negative,0.0,,0.0
LVA,Latvia,Europe,1960,0,-100.0,negative,0.0,,0.0
MAR,Morocco,Africa,1960,1,-25.37149522323411,negative,2037154741.93,4.9088072664161e-10,2037154741.93
MDA,Moldova,Europe,1960,0,-100.0,negative,0.0,,0.0
MEX,Mexico,Americas,1960,1,55.46163900629304,positive,13040000000.0,7.668711656441718e-11,13040000000.0
MKD,North Macedonia,Europe,1960,0,-100.0,negative,0.0,,0.0
MNE,Montenegro,Europe,1960,0,-100.0,negative,0.0,,0.0
MNG,Mongolia,Asia,1960,0,-100.0,negative,0.0,,0.0
MOZ,Mozambique,Africa,1960,0,-100.0,negative,0.0,,0.0
MUS,Mauritius,Africa,1960,0,-100.0,negative,0.0,,0.0
MYS,Malaysia,Asia,1960,0,5.76407041393225,positive,1916229477.14,0.0,1916229477.14
NAM,Namibia,Africa,1960,0,-100.0,negative,0.0,,0.0
NER,Niger,Africa,1960,0,-44.42640950777682,negative,449526873.3,0.0,449526873.3
NGA,Nigeria,Africa,1960,0,-59.615861262167236,negative,4196174501.53,0.0,4196174501.53
NLD,Netherlands,Europe,1960,3,362.1173426147847,positive,12276734172.08,2.443646622912681e-10,12276734172.08
NOR,Norway,Europe,1960,2,523.3858229834879,positive,5163271598.16,3.873513066236389e-10,5163271598.16
NZL,New Zealand,Oceania,1960,3,900.0695256281613,positive,5485854791.97,5.468609931840146e-10,5485854791.97
PAK,Pakistan,Asia,1960,2,-64.72224968287179,negative,3749265014.7,5.334378850677301e-10,3749265014.7
PAN,Panama,Americas,1960,0,106.08017350348877,positive,537147100.0,0.0,537147100.0
PER,Peru,Americas,1960,0,-100.0,negative,0.0,,0.0
PHL,Philippines,Asia,1960,0,14.078706258991378,positive,7515894110.56,0.0,7515894110.56
POL,Poland,Europe,1960,22,-100.0,negative,0.0,,0.0
PRI,Puerto Rico,Americas,1960,0,210.23579642165294,positive,1691900000.0,0.0,1691900000.0
PRK,North Korea,Asia,1960,0,-100.0,negative,0.0,,0.0
PRT,Portugal,Europe,1960,2,55.87239844741659,positive,3193200404.37,6.263308739604737e-10,3193200404.37
PRY,Paraguay,Americas,1960,0,-100.0,negative,0.0,,0.0
QAT,Qatar,Asia,1960,0,-100.0,negative,0.0,,0.0
ROU,Romania,Europe,1960,10,-100.0,negative,0.0,,0.0
RUS,Russia,Europe,1960,109,-100.0,negative,0.0,,0.0
SAU,Saudi Arabia,Asia,1960,0,-100.0,negative,0.0,,0.0
SDN,Sudan,Africa,1960,0,-56.62380301735137,negative,1127011494.25,0.0,1127011494.25
SEN,Senegal,Africa,1960,0,32.584500027505754,positive,1003692370.47,0.0,1003692370.47
SGP,Singapore,Asia,1960,1,85.08388038668835,positive,704751700.3,1.4189394641748551e-09,704751700.3
SMR,San Marino,Europe,1960,0,-100.0,negative,0.0,,0.0
SRB,Serbia,Europe,1960,0,-100.0,negative,0.0,,0.0
SUR,Suriname,Americas,1960,0,60.533437158271376,positive,99650000.0,0.0,99650000.0
SVK,Slovakia,Europe,1960,0,-100.0,negative,0.0,,0.0
SVN,Slovenia,Europe,1960,0,-100.0,negative,0.0,,0.0
SWE,Sweden,Europe,1960,7,814.0478510897051,positive,15822585033.58,4.4240558575883906e-10,15822585033.58
SYR,Syria,Asia,1960,0,-19.568977644414876,negative,857704413.41,0.0,857704413.41
TGO,Togo,Africa,1960,0,-68.28504736166988,negative,121128072.62,0.0,121128072.62
THA,Thailand,Asia,1960,0,-55.11912632776188,negative,2760750860.62,0.0,2760750860.62
TJK,Tajikistan,Asia,1960,0,-100.0,negative,0.0,,0.0
TKM,Turkmenistan,Asia,1960,0,-100.0,negative,0.0,,0.0
TON,Tonga,Oceania,1960,0,-100.0,negative,0.0,,0.0
TTO,Trinidad and Tobago,Americas,1960,0,173.43175049698135,positive,535670127.75,0.0,535670127.75
TUN,Tunisia,Africa,1960,0,-100.0,negative,0.0,,0.0
TUR,Turkey,Asia,1960,9,18.921343880658707,positive,7566666666.67,1.1894273127748064e-09,7566666666.67
TZA,Tanzania,Africa,1960,0,-100.0,negative,0.0,,0.0
UGA,Uganda,Africa,1960,0,-75.99002972042985,negative,423008385.74,0.0,423008385.74
UKR,Ukraine,Europe,1960,0,-100.0,negative,0.0,,0.0
URY,Uruguay,Americas,1960,0,106.58605618360937,positive,1208333333.33,0.0,1208333333.33
USA,United States,Americas,1960,72,1200.213611148947,positive,543300000000.0,1.3252346769740475e-10,543300000000.0
UZB,Uzbekistan,Asia,1960,0,-100.0,negative,0.0,,0.0
VEN,Venezuela,Americas,1960,1,306.2454110547981,positive,7663938303.07,1.304812174178676e-10,7663938303.07
VIR,United States Virgin Islands,Americas,1960,0,-100.0,negative,0.0,,0.0
VNM,Vietnam,Asia,1960,0,-100.0,negative,0.0,,0.0
WSM,Samoa,Oceania,1960,0,-100.0,negative,0.0,,0.0
WSM,Samoa,Oceania,1960,0,-100.0,negative,0.0,,0.0
XKX,Kosovo,Europe,1960,0,-100.0,negative,0.0,,0.0
YGL,Yugoslavia,Europe,1960,2,,positive,,,
ZAF,South Africa,Africa,1960,3,128.9702838330483,positive,8748596500.56,3.4291214594340585e-10,8748596500.56
ZMB,Zambia,Africa,1960,0,-1.1712784656698736,negative,713000000.0,0.0,713000000.0
ZWE,Zimbabwe,Africa,1960,0,19.613149255182595,positive,1052990400.0,0.0,1052990400.0
AFG,Afghanistan,Asia,1964,0,-71.04744903514705,negative,3184444620.0,0.0,800000044.44
ARE,United Arab Emirates,Asia,1964,0,-100.0,negative,0.0,,0.0
ARG,Argentina,Americas,1964,3,-100.0,negative,0.0,,0.0
ARM,Armenia,Asia,1964,0,-100.0,negative,0.0,,0.0
AUS,Australia,Oceania,1964,40,621.6569766748718,positive,103552976568.48001,3.8627571437840647e-10,23801123808.18
AUT,Austria,Europe,1964,3,329.80537621674637,positive,39204712828.1,7.652141244227526e-11,9169983885.71
AZE,Azerbaijan,Asia,1964,0,-100.0,negative,0.0,,0.0
BDI,Burundi,Africa,1964,0,-70.89508500831764,negative,1105999994.0,0.0,260750008.0
BEL,Belgium,Europe,1964,7,476.2238201325575,positive,67543007555.630005,1.0363767106809148e-10,15960106680.67
BFA,Burkina Faso,Africa,1964,0,-72.63203491417303,negative,1864619461.4,0.0,410321644.96
BGR,Bulgaria,Europe,1964,17,-100.0,negative,0.0,,0.0
BHR,Bahrain,Asia,1964,0,-100.0,negative,0.0,,0.0
BHS,Bahamas,Americas,1964,2,550.5740793580524,positive,1076568627.46,1.85775430287124e-09,266666666.67
BLR,Belarus,Europe,1964,0,-100.0,negative,0.0,,0.0
BMU,Bermuda,Americas,1964,0,644.7993794166293,positive,471799921.38,0.0,107566648.74
BRA,Brazil,Americas,1964,3,-100.0,negative,0.0,,0.0
BRB,Barbados,Americas,1964,0,-100.0,negative,0.0,,0.0
BWA,Botswana,Africa,1964,0,-74.94119638745448,negative,178667173.81,0.0,41616347.79
