WB_country_name,WB_country_code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
Bulgaria,BGR,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19839230769.23,19870000000.0,19342000000.0,16563666666.67,17594944444.44,17155421052.63,20249294117.65,28101000000.0,22555941176.47,21988444444.44,20632090909.09,10943548387.1,10350515463.92,10832064941.65,9697416974.17,18991484420.36,12294964837.62,11316127378.96,15031055046.76,13627325461.17,13245990274.46,14183446025.74,16403043849.83,21144957990.47,26157743368.87,29868657858.01,34380536495.67,44432811756.47,54480684188.44,52023801230.12,50760929302.51,57737040780.02,54288135058.79,55852123989.95,57157782909.93,50811995688.68,53964253211.84,59309748166.12,66370132238.39,68881010245.55,70368758395.14,84041493015.66,90346169914.93
Bahrein,BHR,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3072698328.47,3467819148.94,3645744680.85,3735106382.98,3905585106.38,3651861702.13,3052393617.02,3392021010.64,3702393617.02,3863563829.79,4229787234.04,4616223404.26,4751063829.79,5200265957.45,5567553457.45,5849467819.15,6101861436.17,6349202393.62,6183776595.74,6621010372.34,9062898936.17,8976196808.51,9593510638.3,11074813829.79,13150159574.47,15968723404.26,18504760638.3,21730000000.0,25710904255.32,22938218085.11,25713271276.6,28776595744.68,30749308510.64,32539468085.11,33387712765.96,31050638297.87,32234973404.26,35473776595.74,37802005319.15,38653318085.11,34621807712.77,39288670212.77,44383297872.34
Bahamas,BHS,169803921.57,190098039.22,212254901.96,237745098.04,266666666.67,300392156.86,340000000.0,390196078.43,444901960.78,528137254.9,538423153.69,573400000.0,590900000.0,670900000.0,632400000.0,596200000.0,642100000.0,713000000.0,832400000.0,1139800100.0,1335300000.0,1426500000.0,1578300000.0,1732800000.0,2041100000.0,2320699900.0,2472500000.0,2713999900.0,2817900000.0,3062000000.0,3166000000.0,3111160000.0,3109000000.0,3092000000.0,3259000000.0,3429000000.0,3609000000.0,6332360000.0,6833220000.0,7683870000.0,8076470000.0,8317830000.0,8881160000.0,8870090000.0,9055290000.0,9836200000.0,10167250000.0,10618340000.0,10526000000.0,9981960000.0,10095760000.0,10070450000.0,10720400000.0,10395500000.0,10974800000.0,11672900000.0,11750800000.0,12253500000.0,12653600000.0,13058700000.0,9754600000.0,11527600000.0,12897400000.0
Belarús,BLR,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9200000000.0,16416666666.67,14952100840.34,13970425776.75,14756846153.85,14130585516.18,15221352698.89,12138243080.63,12736780455.15,12354820143.88,14594900944.77,17825444724.49,23141566292.95,30210091836.83,36961894281.34,45275711995.83,60752106347.13,50873167326.04,57231904542.88,61762382327.93,65685890438.89,75527558966.45,78812805039.07,56454889146.61,47723545321.26,54725302249.81,60031173807.72,64410122847.35,61371755326.24,69673747131.87,72793457588.44
Bermudas,BMU,84466652.59,89249985.13,94149984.31,96366650.61,107566648.74,114339050.29,134173375.34,155102980.09,150000000.0,164900000.0,186300000.0,211100000.0,235400000.0,269500000.0,312600000.0,345000000.0,386300000.0,447000000.0,475800000.0,517200000.0,613299968.0,739100032.0,785500032.0,889400000.0,985699968.0,1039500032.0,1173500032.0,1296499968.0,1415100032.0,1501500032.0,1592400000.0,1634900000.0,1679900000.0,1820359900.0,1867160100.0,2030750000.0,2695390000.0,2932827000.0,3130748000.0,3324433000.0,3480219000.0,3680483000.0,3937228000.0,4186525000.0,4484703000.0,4868136000.0,6144000000.0,6767000000.0,6980000000.0,6656000000.0,6634526000.0,6312691000.0,6378188000.0,6465756000.0,6413988000.0,6654541000.0,6899911000.0,7142316000.0,7225977000.0,7423465000.0,6887147000.0,7127200000.0,7546000000.0
Brasil,BRA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,425595310393.46,461951781818.18,407337837837.84,390590371724.56,438302216833.01,546229749726.26,769333050986.91,850426432991.74,883206179730.46,863710759256.44,599642024319.53,655448231983.53,559983634798.98,509795273806.72,558233745651.87,669289424806.31,891633839853.11,1107626541710.74,1397114486471.38,1695855083552.05,1666996438681.46,2208837745214.23,2616156223977.47,2465227803011.57,2472819535742.73,2456043727198.85,1802212206904.68,1795693482652.52,2063514977334.32,1916933898038.36,1873288205186.45,1476107231194.11,1649622821885.14,1920095779022.73
Barbados,BRB,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,311809337.47,402178605.02,435911268.59,495097667.93,552883707.06,670362452.15,1012280614.53,1114204743.2,1163923830.36,1236016506.74,1346890071.1,1409536120.92,1547755183.21,1704370307.76,1812757917.76,2006165166.81,2012131457.27,2020583702.08,1957000000.0,2063342117.04,2151344901.31,2216974096.36,2363645403.47,2498384129.67,2817083478.35,2951822204.54,3059500000.0,3054500000.0,3106500000.0,3209500000.0,3444500000.0,3819500000.0,4217450000.0,4674000000.0,4785250000.0,4465500000.0,4531150000.0,4656400000.0,4613850000.0,4685550000.0,4707600000.0,4734000000.0,4843300000.0,4992300000.0,5110250000.0,5341100000.0,4738800000.0,4923100000.0,5699950000.0
Botswana,BWA,30411413.66,32902612.87,35644956.64,38091842.85,41616347.79,45788696.33,51465655.39,58642354.09,66248441.42,77361546.51,96243233.66,127448613.51,164460914.98,244124164.04,306044207.53,355168571.54,372025093.01,451624780.27,590407374.45,819870258.78,1060889703.75,1073812830.3,1014945695.72,1172230396.58,1240822167.44,1114783342.72,1392602163.54,1965226890.05,2644554158.73,3083822112.02,3790636324.45,3942876703.45,4146464586.62,4160129174.71,4259259604.16,4730599121.93,4847757217.76,5020265626.66,4790481509.18,5484263346.88,5788329609.16,5489608299.66,5438863982.89,7511582173.38,8957467706.54,9918907108.1,9919158482.41,10567270655.5,10730829116.41,10118459242.32,12637273429.13,15110643612.17,13907464500.15,14271738933.2,15470088500.74,13530748844.51,15082636722.9,16105156375.53,17031943186.14,16725908666.85,14960291541.18,18737066311.16,20355541962.85
Canadá,CAN,40461721692.65,40934952063.95,42227447631.92,45029988561.21,49377522896.7,54515179580.71,61088384036.65,65668655501.13,71829810519.9,79148411661.69,88192257632.31,99606454743.51,113463848873.62,131764343565.64,160949188139.06,174419757176.56,207271612576.07,212325176304.65,219369542386.25,243891124295.72,274776566028.05,307246642755.86,314647807408.61,341866277182.73,356718400123.54,366186012449.65,379006836991.72,433134238310.71,509380027626.55,567211993243.24,596075591360.99,612527712315.62,594387358318.86,579053561739.4,579944346807.26,605961090061.21,630607994132.75,654986999855.55,634000000000.0,678412196271.12,744773415931.59,738981792355.37,760649334098.01,895540646634.79,1026690238278.25,1173108598778.68,1319264809590.97,1468820407783.26,1552989690721.65,1374625142157.29,1617343367486.26,1793326630174.52,1828366481521.6,1846597421834.98,1805749878439.94,1556508816217.14,1527994741907.43,1649265644244.09,1725329192783.02,1743725183672.52,1655684730000.19,2007472181464.15,2161483369422.01
Suiza,CHE,9522746719.22,10712712465.05,11879982758.56,13063643795.79,14480556571.55,15346741669.76,16480058704.85,17740013179.26,18942729779.1,20524886616.48,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,122557843886.14,112244805518.79,115043365512.49,114634358534.61,109455312167.51,110980314191.53,159089921062.87,199236370037.55,215540625298.98,208105846934.41,265763573999.42,268901693863.32,279921425828.47,272237527070.93,301375055202.16,352835806342.5,340103959546.93,294788198856.2,303459014346.81,297873643323.13,279216033870.2,286582672434.23,309301422430.39,362075086507.76,403912891033.37,418284865885.0,441634672196.52,490740715594.8,567267767519.16,554212916092.27,598851028906.58,715888126682.4,686420221557.99,706234937370.97,726537808338.0,694118186379.63,687895460902.71,695200833086.5,725568717468.0,721369112726.72,741999406005.63,813408787222.5,818426550206.45
