WB_country_code,WB_country_name,Latitude,Longitude,year,medals_cumsum
ARG,Argentina,-34.58,-58.67,1964,3
ARM,Armenia,40.17,44.5,1964,0
AUS,Australia,-35.27,149.13,1964,40
AUT,Austria,48.2,16.37,1964,3
AZE,Azerbaijan,40.38,49.87,1964,0
BDI,Burundi,-3.37,29.35,1964,0
BEL,Belgium,50.83,4.33,1964,7
BFA,Burkina Faso,12.37,-1.52,1964,0
BGR,Bulgaria,42.68,23.32,1964,17
BHR,Bahrain,26.23,50.57,1964,0
BHS,Bahamas,25.08,-77.35,1964,2
BLR,Belarus,53.9,27.57,1964,0
BMU,Bermuda,32.28,-64.78,1964,0
BRA,Brazil,-15.78,-47.92,1964,3
BRB,Barbados,13.1,-59.62,1964,0
BWA,Botswana,-24.63,25.9,1964,0
CAN,Canada,45.42,-75.7,1964,6
CHE,Switzerland,46.92,7.47,1964,11
CHL,Chile,-33.45,-70.67,1964,0
CHN,China,39.92,116.38,1964,1
CIV,Côte d'Ivoire,6.82,-5.27,1964,0
CMR,Cameroon,3.87,11.52,1964,0
COL,Colombia,4.6,-74.08,1964,0
CRI,Costa Rica,9.93,-84.08,1964,0
CUB,Cuba,23.12,-82.35,1964,1
CYP,Cyprus,35.17,33.37,1964,0
CZE,Czech Republic,49.81,15.47,1964,24
DEU,Germany,52.52,13.4,1964,98
DJI,Djibouti,11.58,43.15,1964,0
DNK,Denmark,55.67,12.58,1964,14
DOM,Dominican Republic,18.47,-69.9,1964,0
DZA,Algeria,36.75,3.05,1964,0
ECU,Ecuador,-0.22,-78.5,1964,0
EGY,Egypt,30.05,31.25,1964,2
ERI,Eritrea,15.33,38.93,1964,0
ESP,Spain,40.4,-3.68,1964,1
EST,Estonia,59.43,24.72,1964,0
ETH,Ethiopia,9.03,38.7,1964,2
FIN,Finland,60.17,24.93,1964,11
FJI,Fiji,-18.13,178.42,1964,0
FRA,France,48.87,2.33,1964,21
GAB,Gabon,0.38,9.45,1964,0
GBR,Great Britain,54.08,-1.65,1964,39
GEO,Georgia,41.68,44.83,1964,0
GHA,Ghana,5.55,-0.22,1964,2
GRC,Greece,37.98,23.73,1964,1
GRD,Grenada,12.05,-61.75,1964,0
GTM,Guatemala,14.62,-90.52,1964,0
GUY,Guyana,6.8,-58.15,1964,0
HKG,Hong Kong,22.4,114.11,1964,0
HRV,Croatia,45.8,16.0,1964,0
HUN,Hungary,47.5,19.08,1964,46
IDN,Indonesia,-6.17,106.82,1964,0
IND,India,28.6,77.2,1964,2
IRL,Ireland,53.32,-6.23,1964,1
IRN,Iran,35.7,51.42,1964,6
IRQ,Iraq,33.33,44.4,1964,1
ISL,Iceland,64.15,-21.95,1964,0
ISR,Israel,31.77,35.23,1964,0
ITA,Italy,41.9,12.48,1964,66
JAM,Jamaica,18.0,-76.8,1964,2
JOR,Jordan,31.95,35.93,1964,0
JPN,Japan,35.68,139.75,1964,47
KAZ,Kazakhstan,51.17,71.42,1964,0
KEN,Kenya,-1.28,36.82,1964,1
KGZ,Kyrgyzstan,42.87,74.6,1964,0
KOR,South Korea,37.55,126.98,1964,3
KWT,Kuwait,29.37,47.97,1964,0
LBN,Lebanon,33.87,35.5,1964,0
LKA,Sri Lanka,6.92,79.83,1964,0
LTU,Lithuania,54.68,25.32,1964,0
LVA,Latvia,56.95,24.1,1964,0
MAR,Morocco,34.02,-6.82,1964,1
MDA,Moldova,47.0,28.85,1964,0
MEX,Mexico,19.43,-99.13,1964,2
MKD,North Macedonia,41.6,21.74,1964,0
MNE,Montenegro,42.43,19.27,1964,0
MNG,Mongolia,47.92,106.92,1964,0
MOZ,Mozambique,-25.95,32.58,1964,0
MUS,Mauritius,-20.15,57.48,1964,0
MYS,Malaysia,3.17,101.7,1964,0
NAM,Namibia,-22.57,17.08,1964,0
NER,Niger,13.52,2.12,1964,0
NGA,Nigeria,9.08,7.53,1964,1
NLD,Netherlands,52.35,4.92,1964,15
NOR,Norway,59.92,10.75,1964,2
NZL,New Zealand,-41.3,174.78,1964,9
PAK,Pakistan,33.68,73.05,1964,3
PAN,Panama,8.97,-79.53,1964,0
PER,Peru,-12.05,-77.05,1964,0
