WB_country_code,WB_country_name,Latitude,Longitude,year,medals_cumsum
ETH,Ethiopia,9.03,38.7,1968,4
FIN,Finland,60.17,24.93,1968,15
FJI,Fiji,-18.13,178.42,1968,0
FRA,France,48.87,2.33,1968,37
GAB,Gabon,0.38,9.45,1968,0
GBR,Great Britain,54.08,-1.65,1968,53
GEO,Georgia,41.68,44.83,1968,0
GHA,Ghana,5.55,-0.22,1968,2
GRC,Greece,37.98,23.73,1968,2
GRD,Grenada,12.05,-61.75,1968,0
GTM,Guatemala,14.62,-90.52,1968,0
GUY,Guyana,6.8,-58.15,1968,0
HKG,Hong Kong,22.4,114.11,1968,0
HRV,Croatia,45.8,16.0,1968,0
HUN,Hungary,47.5,19.08,1968,81
IDN,Indonesia,-6.17,106.82,1968,0
IND,India,28.6,77.2,1968,3
IRL,Ireland,53.32,-6.23,1968,1
IRN,Iran,35.7,51.42,1968,11
IRQ,Iraq,33.33,44.4,1968,1
ISL,Iceland,64.15,-21.95,1968,0
ISR,Israel,31.77,35.23,1968,0
ITA,Italy,41.9,12.48,1968,83
JAM,Jamaica,18.0,-76.8,1968,3
JOR,Jordan,31.95,35.93,1968,0
JPN,Japan,35.68,139.75,1968,72
KAZ,Kazakhstan,51.17,71.42,1968,0
KEN,Kenya,-1.28,36.82,1968,10
KGZ,Kyrgyzstan,42.87,74.6,1968,0
KOR,South Korea,37.55,126.98,1968,5
KWT,Kuwait,29.37,47.97,1968,0
LBN,Lebanon,33.87,35.5,1968,0
LKA,Sri Lanka,6.92,79.83,1968,0
LTU,Lithuania,54.68,25.32,1968,0
LVA,Latvia,56.95,24.1,1968,0
MAR,Morocco,34.02,-6.82,1968,1
MDA,Moldova,47.0,28.85,1968,0
MEX,Mexico,19.43,-99.13,1968,11
MKD,North Macedonia,41.6,21.74,1968,0
MNE,Montenegro,42.43,19.27,1968,0
MNG,Mongolia,47.92,106.92,1968,4
MOZ,Mozambique,-25.95,32.58,1968,0
MUS,Mauritius,-20.15,57.48,1968,0
MYS,Malaysia,3.17,101.7,1968,0
NAM,Namibia,-22.57,17.08,1968,0
NER,Niger,13.52,2.12,1968,0
NGA,Nigeria,9.08,7.53,1968,1
NLD,Netherlands,52.35,4.92,1968,24
NOR,Norway,59.92,10.75,1968,5
NZL,New Zealand,-41.3,174.78,1968,12
PAK,Pakistan,33.68,73.05,1968,4
PAN,Panama,8.97,-79.53,1968,0
PER,Peru,-12.05,-77.05,1968,0
PHL,Philippines,14.6,120.97,1968,1
POL,Poland,52.25,21.0,1968,63
PRI,Puerto Rico,18.47,-66.12,1968,0
PRK,North Korea,39.02,125.75,1968,0
PRT,Portugal,38.72,-9.13,1968,2
PRY,Paraguay,-25.27,-57.67,1968,0
QAT,Qatar,25.28,51.53,1968,0
ROU,Romania,44.43,26.1,1968,39
RUS,Russia,55.75,37.6,1968,303
SAU,Saudi Arabia,24.65,46.7,1968,0
SDN,Sudan,15.6,32.53,1968,0
SEN,Senegal,14.73,-17.63,1968,0
SGP,Singapore,1.28,103.85,1968,1
SMR,San Marino,43.93,12.42,1968,0
SRB,Serbia,44.83,20.5,1968,0
SUR,Suriname,5.83,-55.17,1968,0
SVK,Slovakia,48.15,17.12,1968,0
SVN,Slovenia,46.05,14.52,1968,0
SWE,Sweden,59.33,18.05,1968,21
SYR,Syria,33.5,36.3,1968,0
TGO,Togo,6.12,1.22,1968,0
THA,Thailand,13.75,100.52,1968,0
TJK,Tajikistan,38.55,68.77,1968,0
TKM,Turkmenistan,37.95,58.38,1968,0
TON,Tonga,-21.13,-175.2,1968,0
TTO,Trinidad and Tobago,10.65,-61.52,1968,3
TUN,Tunisia,36.8,10.18,1968,4
TUR,Turkey,39.93,32.87,1968,17
TZA,Tanzania,-6.8,39.28,1968,0
UGA,Uganda,0.32,32.55,1968,2
UKR,Ukraine,50.43,30.52,1968,0
URY,Uruguay,-34.85,-56.17,1968,1
USA,United States,38.88,-90.0,1968,276
UZB,Uzbekistan,41.32,69.25,1968,0
VEN,Venezuela,10.48,-66.87,1968,2
VIR,United States Virgin Islands,18.35,-64.93,1968,0
VNM,Vietnam,21.03,105.85,1968,0
WSM,Samoa,-13.82,-171.77,1968,0
XKX,Kosovo,42.67,21.17,1968,0
YGL,Yugoslavia,44.83,20.5,1968,15
ZAF,South Africa,-25.7,28.22,1968,3
ZMB,Zambia,-15.42,28.28,1968,0
ZWE,Zimbabwe,-17.82,31.03,1968,0
AFG,Afghanistan,34.52,69.18,1972,0
ARE,United Arab Emirates,24.47,54.37,1972,0
ARG,Argentina,-34.58,-58.67,1972,6
ARM,Armenia,40.17,44.5,1972,0
AUS,Australia,-35.27,149.13,1972,75
AUT,Austria,48.2,16.37,1972,11
AZE,Azerbaijan,40.38,49.87,1972,0
BDI,Burundi,-3.37,29.35,1972,0
BEL,Belgium,50.83,4.33,1972,12
BFA,Burkina Faso,12.37,-1.52,1972,0
BGR,Bulgaria,42.68,23.32,1972,48
BHR,Bahrain,26.23,50.57,1972,0
BHS,Bahamas,25.08,-77.35,1972,2
BLR,Belarus,53.9,27.57,1972,0
BMU,Bermuda,32.28,-64.78,1972,0
BRA,Brazil,-15.78,-47.92,1972,9
BRB,Barbados,13.1,-59.62,1972,0
BWA,Botswana,-24.63,25.9,1972,0
CAN,Canada,45.42,-75.7,1972,16
CHE,Switzerland,46.92,7.47,1972,20
CHL,Chile,-33.45,-70.67,1972,0
CHN,China,39.92,116.38,1972,2
CIV,Côte d'Ivoire,6.82,-5.27,1972,0
CMR,Cameroon,3.87,11.52,1972,1
COL,Colombia,4.6,-74.08,1972,3
CRI,Costa Rica,9.93,-84.08,1972,0
CUB,Cuba,23.12,-82.35,1972,13
CYP,Cyprus,35.17,33.37,1972,0
CZE,Czech Republic,49.81,15.47,1972,45
DEU,Germany,52.52,13.4,1972,266
DJI,Djibouti,11.58,43.15,1972,0
DNK,Denmark,55.67,12.58,1972,24
DOM,Dominican Republic,18.47,-69.9,1972,0
DZA,Algeria,36.75,3.05,1972,0
ECU,Ecuador,-0.22,-78.5,1972,0
EGY,Egypt,30.05,31.25,1972,2
ERI,Eritrea,15.33,38.93,1972,0
ESP,Spain,40.4,-3.68,1972,2
EST,Estonia,59.43,24.72,1972,0
ETH,Ethiopia,9.03,38.7,1972,6
FIN,Finland,60.17,24.93,1972,23
FJI,Fiji,-18.13,178.42,1972,0
FRA,France,48.87,2.33,1972,52
GAB,Gabon,0.38,9.45,1972,0
GBR,Great Britain,54.08,-1.65,1972,73
GEO,Georgia,41.68,44.83,1972,0
GHA,Ghana,5.55,-0.22,1972,3
GRC,Greece,37.98,23.73,1972,4
GRD,Grenada,12.05,-61.75,1972,0
GTM,Guatemala,14.62,-90.52,1972,0
GUY,Guyana,6.8,-58.15,1972,0
HKG,Hong Kong,22.4,114.11,1972,0
HRV,Croatia,45.8,16.0,1972,0
HUN,Hungary,47.5,19.08,1972,117
IDN,Indonesia,-6.17,106.82,1972,0
IND,India,28.6,77.2,1972,4
IRL,Ireland,53.32,-6.23,1972,1
IRN,Iran,35.7,51.42,1972,14
IRQ,Iraq,33.33,44.4,1972,1
ISL,Iceland,64.15,-21.95,1972,0
ISR,Israel,31.77,35.23,1972,0
ITA,Italy,41.9,12.48,1972,101
JAM,Jamaica,18.0,-76.8,1972,4
JOR,Jordan,31.95,35.93,1972,0
JPN,Japan,35.68,139.75,1972,101
KAZ,Kazakhstan,51.17,71.42,1972,0
KEN,Kenya,-1.28,36.82,1972,19
KGZ,Kyrgyzstan,42.87,74.6,1972,0
KOR,South Korea,37.55,126.98,1972,6
KWT,Kuwait,29.37,47.97,1972,0
LBN,Lebanon,33.87,35.5,1972,1
LKA,Sri Lanka,6.92,79.83,1972,0
LTU,Lithuania,54.68,25.32,1972,0
LVA,Latvia,56.95,24.1,1972,0
MAR,Morocco,34.02,-6.82,1972,1
MDA,Moldova,47.0,28.85,1972,0
MEX,Mexico,19.43,-99.13,1972,12
MKD,North Macedonia,41.6,21.74,1972,0
MNE,Montenegro,42.43,19.27,1972,0
MNG,Mongolia,47.92,106.92,1972,5
MOZ,Mozambique,-25.95,32.58,1972,0
MUS,Mauritius,-20.15,57.48,1972,0
MYS,Malaysia,3.17,101.7,1972,0
NAM,Namibia,-22.57,17.08,1972,0
NER,Niger,13.52,2.12,1972,1
NGA,Nigeria,9.08,7.53,1972,2
NLD,Netherlands,52.35,4.92,1972,30
NOR,Norway,59.92,10.75,1972,10
NZL,New Zealand,-41.3,174.78,1972,15
PAK,Pakistan,33.68,73.05,1972,5
PAN,Panama,8.97,-79.53,1972,0
PER,Peru,-12.05,-77.05,1972,0
PHL,Philippines,14.6,120.97,1972,1
POL,Poland,52.25,21.0,1972,86
PRI,Puerto Rico,18.47,-66.12,1972,0
PRK,North Korea,39.02,125.75,1972,5
PRT,Portugal,38.72,-9.13,1972,2
PRY,Paraguay,-25.27,-57.67,1972,0
QAT,Qatar,25.28,51.53,1972,0
ROU,Romania,44.43,26.1,1972,57
RUS,Russia,55.75,37.6,1972,408
SAU,Saudi Arabia,24.65,46.7,1972,0
SDN,Sudan,15.6,32.53,1972,0
SEN,Senegal,14.73,-17.63,1972,0
SGP,Singapore,1.28,103.85,1972,1
SMR,San Marino,43.93,12.42,1972,0
SRB,Serbia,44.83,20.5,1972,0
SUR,Suriname,5.83,-55.17,1972,0
SVK,Slovakia,48.15,17.12,1972,0
SVN,Slovenia,46.05,14.52,1972,0
SWE,Sweden,59.33,18.05,1972,38
SYR,Syria,33.5,36.3,1972,0
TGO,Togo,6.12,1.22,1972,0
THA,Thailand,13.75,100.52,1972,0
TJK,Tajikistan,38.55,68.77,1972,0
TKM,Turkmenistan,37.95,58.38,1972,0
TON,Tonga,-21.13,-175.2,1972,0
TTO,Trinidad and Tobago,10.65,-61.52,1972,3
TUN,Tunisia,36.8,10.18,1972,5
TUR,Turkey,39.93,32.87,1972,18
TZA,Tanzania,-6.8,39.28,1972,0
UGA,Uganda,0.32,32.55,1972,4
UKR,Ukraine,50.43,30.52,1972,0
URY,Uruguay,-34.85,-56.17,1972,1
USA,United States,38.88,-90.0,1972,371
UZB,Uzbekistan,41.32,69.25,1972,0
VEN,Venezuela,10.48,-66.87,1972,2
VIR,United States Virgin Islands,18.35,-64.93,1972,0
VNM,Vietnam,21.03,105.85,1972,0
WSM,Samoa,-13.82,-171.77,1972,0
XKX,Kosovo,42.67,21.17,1972,0
YGL,Yugoslavia,44.83,20.5,1972,20
ZAF,South Africa,-25.7,28.22,1972,3
ZMB,Zambia,-15.42,28.28,1972,0
ZWE,Zimbabwe,-17.82,31.03,1972,0
AFG,Afghanistan,34.52,69.18,1976,0
ARE,United Arab Emirates,24.47,54.37,1976,0
ARG,Argentina,-34.58,-58.67,1976,6
ARM,Armenia,40.17,44.5,1976,0
AUS,Australia,-35.27,149.13,1976,81
AUT,Austria,48.2,16.37,1976,12
AZE,Azerbaijan,40.38,49.87,1976,0
BDI,Burundi,-3.37,29.35,1976,0
BEL,Belgium,50.83,4.33,1976,18
BFA,Burkina Faso,12.37,-1.52,1976,0
BGR,Bulgaria,42.68,23.32,1976,72
BHR,Bahrain,26.23,50.57,1976,0
BHS,Bahamas,25.08,-77.35,1976,2
BLR,Belarus,53.9,27.57,1976,0
BMU,Bermuda,32.28,-64.78,1976,1
BRA,Brazil,-15.78,-47.92,1976,12
BRB,Barbados,13.1,-59.62,1976,0
BWA,Botswana,-24.63,25.9,1976,0
CAN,Canada,45.42,-75.7,1976,27
CHE,Switzerland,46.92,7.47,1976,24
CHL,Chile,-33.45,-70.67,1976,0
CHN,China,39.92,116.38,1976,2
CIV,Côte d'Ivoire,6.82,-5.27,1976,0
CMR,Cameroon,3.87,11.52,1976,1
COL,Colombia,4.6,-74.08,1976,3
CRI,Costa Rica,9.93,-84.08,1976,0
CUB,Cuba,23.12,-82.35,1976,26
CYP,Cyprus,35.17,33.37,1976,0
CZE,Czech Republic,49.81,15.47,1976,53
DEU,Germany,52.52,13.4,1976,407
DJI,Djibouti,11.58,43.15,1976,0
DNK,Denmark,55.67,12.58,1976,27
DOM,Dominican Republic,18.47,-69.9,1976,0
DZA,Algeria,36.75,3.05,1976,0
ECU,Ecuador,-0.22,-78.5,1976,0
EGY,Egypt,30.05,31.25,1976,2
ERI,Eritrea,15.33,38.93,1976,0
ESP,Spain,40.4,-3.68,1976,5
EST,Estonia,59.43,24.72,1976,0
ETH,Ethiopia,9.03,38.7,1976,6
FIN,Finland,60.17,24.93,1976,29
FJI,Fiji,-18.13,178.42,1976,0
FRA,France,48.87,2.33,1976,61
GAB,Gabon,0.38,9.45,1976,0
GBR,Great Britain,54.08,-1.65,1976,89
GEO,Georgia,41.68,44.83,1976,0
GHA,Ghana,5.55,-0.22,1976,3
GRC,Greece,37.98,23.73,1976,4
GRD,Grenada,12.05,-61.75,1976,0
GTM,Guatemala,14.62,-90.52,1976,0
GUY,Guyana,6.8,-58.15,1976,0
HKG,Hong Kong,22.4,114.11,1976,0
HRV,Croatia,45.8,16.0,1976,0
HUN,Hungary,47.5,19.08,1976,143
IDN,Indonesia,-6.17,106.82,1976,0
IND,India,28.6,77.2,1976,4
IRL,Ireland,53.32,-6.23,1976,1
IRN,Iran,35.7,51.42,1976,16
IRQ,Iraq,33.33,44.4,1976,1
ISL,Iceland,64.15,-21.95,1976,0
ISR,Israel,31.77,35.23,1976,0
ITA,Italy,41.9,12.48,1976,114
